Feature,Importance
V14,0.1825435687920112
V12,0.14413616719052966
V10,0.13151601320384304
V11,0.090067739609429
V17,0.08171980710934801
V4,0.06733724134162318
V3,0.03944013815618486
V16,0.03184037052107437
V9,0.02795101799507661
V21,0.01684655043418524
V7,0.016688428246214866
V27,0.014388534449306595
V19,0.012843158756218755
V18,0.012761436547550905
V6,0.011913010133347364
Amount,0.010433295619871717
V2,0.010245753959230974
V20,0.010085356972720942
V8,0.008934231710249489
V26,0.007398082089939764
V5,0.007347899178496092
V28,0.007255294060969021
V13,0.0072523288750809675
V1,0.006120725110948902
V15,0.005766346114160998
V22,0.004833519382827411
V25,0.004591410435207632
Hour,0.003934225576173944
Day,0.0038682898308106508
Hour_sin,0.003489188839394
Hour_cos,0.003442024424684751
V23,0.003267783487876487
Time_normalized,0.0030161861944506966
V24,0.0029395381401715044
Transactions_per_hour,0.0026800073969368045
Is_Night,0.0003796123105738316
Is_Evening,0.00033783706830034185
Is_Morning,0.0002700387315791859
Is_Afternoon,0.00011784200340006884
